,time,sigma,label
574,8.14016712720792,3.169264002808063e-08,RSF
575,8.18861005430535,3.164468524550078e-08,RSF
576,8.2082183993718,3.176328401566306e-08,RSF
577,8.23969853635027,3.172216702394296e-08,RSF
578,8.29813851505811,3.18902836722656e-08,RSF
579,8.35325720102878,3.212059858108147e-08,RSF
580,8.37934759488796,3.2117829045086384e-08,RSF
581,8.38047470441412,3.21090313272346e-08,RSF
582,8.6205176495868,3.20852351167449e-08,RSF
583,8.65124835746161,3.2167551696906277e-08,RSF
584,8.71683270287919,3.217192019716178e-08,RSF
585,8.7752199444979,3.219818784552146e-08,RSF
586,8.80791782373638,3.2314836704327294e-08,RSF
587,8.80917406390092,3.231572881350115e-08,RSF
588,8.82113646387969,3.2321250320249203e-08,RSF
589,8.90504116789515,3.2526805092596574e-08,RSF
590,8.95766426994382,3.279099122514711e-08,RSF
591,9.03969728533778,3.295649011484807e-08,RSF
592,9.12018438241391,3.282889908879034e-08,RSF
593,9.1534965527508,3.289658815201496e-08,RSF
594,9.18822967571181,3.2874295825530267e-08,RSF
595,9.19842082207654,3.2955521129670504e-08,RSF
596,9.24896989326648,3.297469593603894e-08,RSF
597,9.35361602986987,3.2949985196234504e-08,RSF
598,9.37628008040477,3.2922540497151075e-08,RSF
599,9.38532822199814,3.305169102713254e-08,RSF
600,9.38971646615436,3.298432042920658e-08,RSF
601,9.3901764789668,3.2921463540359685e-08,RSF
602,9.41283847700934,3.288358064064932e-08,RSF
603,9.51482876563168,3.301365385958696e-08,RSF
604,9.59956180467042,3.3072410082742226e-08,RSF
605,9.60137974332637,3.31997725440453e-08,RSF
606,9.62144027191946,3.343695899279637e-08,RSF
607,9.73646825306892,3.357769267613603e-08,RSF
608,9.77753523346252,3.383628263420358e-08,RSF
609,9.79649877017176,3.40542069761275e-08,RSF
610,9.95240794767465,3.4147873521054645e-08,RSF
611,10.0534903515492,3.414998873962527e-08,RSF
612,10.081323542648,3.4016011424465453e-08,RSF
613,10.1146101729408,3.4096959040166985e-08,RSF
